uuid,avaliacaoRef,idBaseRef,fazendaRef,dtcResponsavelRef,cod_fazenda,nomeFazenda,cidade_nome,estado_sigla,regiao_macro,regiao_micro,safra,epoca,dataPlantioSoja,dataColheitaSoja,latitude,longitude,altitude,nomeResponsavel,nome,dePara,status_material,tipoTeste,indexTratamento,populacao,gm,subamostra,plantas
0004753b-c45d-48fa-b2d9-57f3b429610a,afe1fe97-def7-4802-befc-e0d295194de1,52b3ce8d-561b-4374-ab6c-f0ecbbe9f67d,564759b0-73ab-4aea-a312-96f25e699d5b,df4e05ad-5053-463d-a3c3-463d00849eb9,M3-303-A-24,Agro Firmino,Caldas Novas,GO,MACRO III,REC 303,2024/25,Safra,11/6/2024,3/3/2025,-17.611116,-48.654321,705,Rafael Ribeiro,NC25-49859-7,NC25-49859-7,LINHAGEM,Faixa,5,300,70,1,128
00093171-9612-46e0-8371-a77fa2294ebc,cda30e04-6e12-4f86-bdab-a464e78ac771,51ad517c-197e-47fd-be20-3476086f73b8,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/23/2024,2/20/2025,-12.5611,-55.4622,412,Lara Martins,NC25-60031-5,NC25-60031-5,LINHAGEM,Faixa,36,300,81,1,100
00470d81-0032-4644-8034-34faf88206bb,dec78dba-ccdb-48a0-9240-51fc8b0e3e96,1458c3e4-9991-454f-b14d-8581f2f781c7,4db9f327-5421-4971-84bb-8ce6ed788db4,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-A-24,Fazenda Aquidauana,Campo Novo do Parecis,MT,MACRO IV,REC 402,2024/25,Safra,10/15/2024,2/16/2025,-14.163552,-58.053603,437,Josélia Portilho,NC25-41248-8,NC25-41248-8,LINHAGEM,Faixa,31,300,80,1,94
00494683-654a-42f0-9a52-3d1cd8c16bd8,ffc66935-b507-4d0e-992a-3675aea567c5,8834920c-e4fe-4c9d-b19c-ec7610478645,d9b6c3c4-70f8-44d5-8824-1029ff5b0c55,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-H-24,Lajeada ,Campos de Júlio,MT,MACRO IV,REC 402,2024/25,Safra,10/9/2024,2/13/2025,-14.0275,-59.190277,660,Milena Goulart,NC25-51441-3,68KA49 CE,DP2,Faixa,3,300,69,1,127
009a19bc-dea5-4913-8aad-694ec29ae5ac,7d7c83b0-437c-49dd-8974-9cefbf075bbf,0870fc13-0565-48a0-afe9-1fa92e54c2a1,b33c3624-6107-4c18-9a37-f85064b13c09,12351e76-eed4-41fb-bf16-99fb41d513a8,M4-401-B-24,Estreito Ponte de Pedra Veneza,Montividiu,GO,MACRO IV,REC 401,2024/25,Safra,10/30/2024,2/19/2025,-17.121477,-51.170811,800,Lucas Pereira,77EA40,77EA40 E,STINE,Faixa,25,300,77,1,150
00c5cd6b-3d09-4b9e-b3db-517292b082be,fb30615d-d664-49ce-a485-c066504320ce,7b6b3d2b-6999-4551-a756-668cbca93841,e8a1b2d2-5acb-4c8b-946e-9fff64bf02fd,12351e76-eed4-41fb-bf16-99fb41d513a8,M3-301-A-24,Ariranha,Jataí,GO,MACRO III,REC 301,2024/25,Safra,10/27/2024,2/18/2025,-17.942772,-51.894151,840,Lucas Pereira,NC25-56656-5,NC25-56656-5,LINHAGEM,Faixa,19,300,76,1,150
010b32e1-3f64-43f4-bb2c-91b125972292,83778ab5-e243-41d1-8e30-6752d6af539e,46755fb5-07ba-4ddf-9c80-7a349fb3b51b,0c9beb65-80fe-48f0-be6a-b02d24e91ed7,967f1c7d-13a5-48fb-ae7a-6871212afdb0,M5-501-D-24,Fazenda Veneza II,Caseara,TO,MACRO V,REC 501,2024/25,Safra,11/12/2024,3/11/2025,-93.16135,-49.9151,200,Pedro Lucas Ramos,DOM�NIO IPRO,BMX DOMÍNIO IPRO,CHECK,Faixa,31,300,84,1,95
015a6636-da88-44e7-ae85-e7f6165bec65,93b4d9cf-73ac-4ba7-9089-2f13c4af0ad1,c5db466d-5589-41ad-ac8b-d16d8acd1e95,6e37f26a-6e29-450b-b77e-0d471ba4a684,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M2-204-C-24,Recanto,Sidrolândia,MS,MACRO II,REC 204,2024/25,Safra,10/25/2024,2/27/2025,-21.06344,-55.03496,485,Luiz Neves,NC25-62377-7,NC25-62377-7,LINHAGEM,Faixa,36,300,80,1,140
015f548e-78cb-4720-ad91-1ea6808a352c,7170c336-a62f-448e-9ced-cafcebb8fe6a,5b064a3f-0865-4463-a4fe-f3aae45811ce,8489999e-b5f5-42d5-9898-8cb0def425f7,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-C-24,Fazenda Carandá II,Nova Mutum,MT,MACRO IV,REC 402,2024/25,Safra,10/21/2024,2/10/2025,-13.5204,-55.3329,500,Lara Martins,76EA72,76EA72 E,STINE,Faixa,18,300,76,1,112
01683b73-abc1-4cec-bf19-caaa9baad7f3,ecbdddd6-1d94-4594-973b-27f536913c75,2ec933ab-7005-4952-a1f7-20fa46573868,c6036815-7d7e-49a4-848c-4d7d8103ffb1,586073f9-041b-4931-9e42-b44975c8b383,M4-401-C-24,Mariana,Campo Verde,MT,MACRO IV,REC 401,2024/25,Safra,10/25/2024,2/21/2025,-15.3624,-55.1638,630,Tamila Ribeiro,TORMENTA CE,BMX TORMENTA CE,CHECK,Faixa,17,300,76,1,133
01e1c641-dcf1-42e3-8eab-65bf77809e91,ba23c99d-5a60-454a-b6cb-53cb22c6beff,52f161f5-c012-4657-be4a-074c38887dbb,73aa5e8b-f1a4-4489-a5d6-aa53c6b2a9a7,dc5ab980-65ce-4491-9a4b-341e27c4bec3,M4-403-A-24,Córrego Fundo,Água Boa,MT,MACRO IV,REC 403,2024/25,Safra,11/3/2024,3/7/2025,-13.6462318,-52.6649138,450,Maklane Duarte,76KA72,76KA72 CE,STINE,Faixa,19,300,76,1,110
01f18775-6212-4efb-a42b-a2bd674a64ee,3e1c0fb7-9d42-4134-ba92-78f2bf45d31d,886447bf-b9a1-4f1d-8de1-89f6cbeb2809,c3138c6d-17bc-4363-ba33-07b620421254,12351e76-eed4-41fb-bf16-99fb41d513a8,M3-302-A-24,Corrego do cédro_SHG,Santa Helena de Goiás,GO,MACRO III,REC 302,2024/25,Safra,10/31/2024,2/25/2025,-17.847696,-50.720696,500,Lucas Pereira,NC25-2384-7,NC25-2384-7,LINHAGEM,Faixa,24,300,77,1,140
0218ec12-e335-4790-802d-e82627a271fb,faaf3e69-3440-4747-afd4-97c6f9b2c007,8c76dd73-e0b7-4250-857a-3b222f6a8ec2,5018d515-ea55-42d5-afb6-f1a9879fb3ce,cea7f5ab-9542-41b4-a62e-fe6496faace9,M4-402-B-24,Fazenda Bananal,Diamantino,MT,MACRO IV,REC 402,2024/25,Safra,10/11/2024,2/8/2025,-14.6071,-56.37197,269,Josélia Portilho,NC25-62377-7,NC25-62377-7,LINHAGEM,Faixa,33,300,80,1,140
026205c7-0af3-441f-9414-377feee1c522,9060e437-1025-4bda-8014-00466498ea7f,2cf308c7-3d6a-4a60-9f82-f84c1ad62af8,d6ee8b49-931a-4c4b-9f4a-1c45cacbabc4,fd6a17f2-2d5a-46b9-ad69-4f3d7816b53a,M4-402-I-24,Rodeio ,Sapezal,MT,MACRO IV,REC 402,2024/25,Safra,10/7/2024,2/14/2025,-13.665555,-58.707777,450,Milena Goulart,NC25-51943-4,NC25-51943-4,LINHAGEM,Faixa,2,300,69,1,77
028d139a-b9aa-4a54-a016-df6005daf52f,5a439ab3-39ed-4170-a454-b23e4722b293,c48593d4-c37d-4f1c-a414-a6b7b02d7015,1855d4a7-024c-42c0-b0fa-f0a70ced866f,b3c863ab-5a70-433e-8f85-d3b2b695e14b,M3-301-E-24,Três Pinheiros,São Gabriel do Oeste,MS,MACRO III,REC 301,2024/25,Safra,10/30/2024,3/12/2025,-19.3191,-54.64512,660,Luiz Neves,NC25-96785-6,NC25-96785-6,LINHAGEM,Faixa,10,300,70,1,130
03046064-575d-425b-ae3f-c551bb539f71,ecbdddd6-1d94-4594-973b-27f536913c75,ad376ee7-4da1-4e9a-b4cb-0c5160c3bf68,c6036815-7d7e-49a4-848c-4d7d8103ffb1,586073f9-041b-4931-9e42-b44975c8b383,M4-401-C-24,Mariana,Campo Verde,MT,MACRO IV,REC 401,2024/25,Safra,10/25/2024,2/21/2025,-15.3624,-55.1638,630,Tamila Ribeiro,NC25-41248-5,NC25-41248-5,LINHAGEM,Faixa,32,300,80,1,136
034f2d23-0d23-4bd0-a638-509ad523c0b5,19b6edb3-0c9d-493c-9879-afc7d6009b92,4b02d459-1c2a-47b8-b3ee-72de0557f006,65b84748-8a2c-4056-9ae7-d98022f8beb1,12351e76-eed4-41fb-bf16-99fb41d513a8,M3-301-C-24,Invernadinha Lugar Indaiá,Mineiros,GO,MACRO III,REC 301,2024/25,Safra,10/22/2024,2/17/2025,-17.121477,-51.170811,900,Lucas Pereira,NEO690I2X,NEO 690 I2X,CHECK,Faixa,7,300,69,1,150
034f6102-52be-4927-9f10-3caf36d75ee4,9cea9d76-6168-4d49-a765-d2d49447cb1c,77e88293-df4a-4596-a60d-5b3fdb094a17,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,NC25-96785-6,NC25-96785-6,LINHAGEM,Faixa,5,300,70,1,98
034fbe50-3fcb-42b4-a736-e2d5637d94dd,9cea9d76-6168-4d49-a765-d2d49447cb1c,394e18d6-907e-4ec3-8812-1b0c9975a2d5,46a26871-132b-4fbf-bb8c-0c43f1226ad9,35b90f23-8b54-40ef-ba56-fefd341a9878,M4-402-F-24,Fazenda Santana ,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/16/2024,2/9/2025,-12.385359,-55.593431,380,Luiz Penna,NC25-57375-2,NC25-57375-2,LINHAGEM,Faixa,42,300,83,1,121
038fe4f0-2d75-4d92-8151-aa6041032b2f,cda30e04-6e12-4f86-bdab-a464e78ac771,8fd513cd-0ca3-45b1-a864-6dc78d53ca36,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/23/2024,2/20/2025,-12.5611,-55.4622,412,Lara Martins,DM 73I75 IPRO,DM 73I75 RSF IPRO,CHECK,Faixa,10,300,73,1,113
03aaa3e4-5a23-45bf-b472-6b7b44872785,21910366-14a6-47a5-89cf-77482f63571d,f0193faa-4a18-401e-8a43-063cfa296324,a8adb0ad-142c-49da-9021-9ce073ef09ef,83e6b5e4-067e-48da-afd6-9fc9fd326829,M1-102-D-24,Da Lagoa,São Luiz Gonzaga,RS,MACRO I,REC 102,2024/25,Safra,11/15/2024,4/6/2025,0,0,0,ANDRE LUIS DOS SANTOS RITTER,TITANIUM TF I2X,BMX TITANIUM TF I2X,CHECK,Faixa,7,250,56,1,74
03b32b26-88b4-4ab0-b7c8-ac2f2adfb329,cda30e04-6e12-4f86-bdab-a464e78ac771,65c6355e-964a-40e9-98a9-b4a16bd3c5d9,cd9e910b-c53e-49f3-991a-2ab0c0f82e74,428c574c-4a2b-4fc0-ab2d-c5177c7db637,M4-402-D-24,Fazenda Flora,Sorriso,MT,MACRO IV,REC 402,2024/25,Safra,10/23/2024,2/20/2025,-12.5611,-55.4622,412,Lara Martins,84KA92,84KA92 CE,DP2,Faixa,43,300,84,1,103
03cc969f-f492-40a4-ad98-3894d7ffa1c6,367aa894-fe5a-45ed-8e65-58a619703705,2338461f-eb35-4893-8331-682bc901e12a,3c622bdd-1b3d-47d2-af2e-8a548d9b375a,2fef9e92-3c2b-45a5-8f3f-2eb28550da94,M2-201-C-24,SÍTIO DOS SONHOS,São Miguel do Iguaçu,PR,MACRO II,REC 201,2024/25,Safra,9/25/2024,1/23/2025,-25.2848,-54.1809,300,RAQUEL BARTOLOMEU,DM 57I52 IPRO,DM 57I52 RSF IPRO,CHECK,Faixa,12,250,57,1,87
0469012c-7442-4bb8-a075-cdb1f18d30ce,cef40eb7-530a-4952-b16d-79fb93e9e75f,9712dc8c-4bab-4f8a-9e52-2729752e984a,99a40bd5-b361-4b2b-93e7-1e3564984990,83e6b5e4-067e-48da-afd6-9fc9fd326829,M1-102-C-24,Costa Beber,Santo Augusto,RS,MACRO I,REC 102,2024/25,Safra,11/20/2024,4/14/2025,0,0,0,ANDRE LUIS DOS SANTOS RITTER,SC25-50-06-6,SC25-50-06-6,LINHAGEM,Faixa,4,250,55,1,77
